vehicle_age,km_driven,mileage,engine,max_power,seats,selling_price,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,fuel_type_CNG,fuel_type_Diesel,fuel_type_LPG,fuel_type_Petrol,transmission_type_Automatic,transmission_type_Manual
5,25000,25.17,799,53.3,5,240000,0,1,0,0,0,0,1,0,1
3,26000,24.3,1248,88.5,5,725000,1,0,0,0,1,0,0,0,1
4,30000,18.16,1196,86.8,5,480000,0,1,0,0,0,0,1,0,1
8,15000,18.5,1197,82.9,5,375000,0,1,0,0,0,0,1,0,1
4,32100,23.84,1199,84,5,400000,0,1,0,0,0,0,1,0,1
5,22000,18.5,1197,82.9,5,550000,1,0,0,0,0,0,1,0,1
5,78000,18.78,1198,74,5,450000,1,0,0,0,0,0,1,0,1
7,37000,20.51,998,67.04,5,350000,0,1,0,0,0,0,1,0,1
7,69000,25.1,1498,98.6,5,550000,1,0,0,0,1,0,0,0,1
2,12120,16.8,1497,113.4,5,1080000,0,1,0,0,0,0,1,0,1
5,52000,21.01,1197,81.8,5,575000,1,0,0,0,0,0,1,0,1
8,55000,22.74,796,47.3,5,230000,0,1,0,0,0,0,1,0,1
10,40000,15.6,1196,70,5,130000,0,1,0,0,0,0,1,0,1
9,46000,19.1,1197,85.8,5,370000,1,0,0,0,0,0,1,0,1
4,25000,21.4,1197,83.1,5,570000,1,0,0,0,0,0,1,0,1
8,90000,22.07,1199,73.9,5,365000,1,0,0,0,1,0,0,0,1
9,49566,18.5,1197,82.85,5,280000,1,0,0,0,0,0,1,0,1
3,14000,22,1582,126.2,5,1250000,1,0,0,0,1,0,0,1,0
5,11000,18.6,1197,81.83,5,590000,1,0,0,0,0,0,1,0,1
3,5000,23.1,998,67.04,5,475000,0,1,0,0,0,0,1,1,0
4,55000,23,1498,98.96,5,685000,1,0,0,0,1,0,0,0,1
9,65000,19.08,1582,126.32,5,380000,1,0,0,0,1,0,0,1,0
3,22000,23.01,999,67,5,330000,0,1,0,0,0,0,1,0,1
3,7671,21.01,1197,81.8,5,650000,0,0,1,0,0,0,1,0,1
5,66000,20.51,998,67.04,5,325000,0,1,0,0,0,0,1,0,1
3,45156,21.21,1197,81.8,5,640000,1,0,0,0,0,0,1,1,0
2,25000,18.27,998,118.35,5,949000,0,1,0,0,0,0,1,0,1
6,120000,23.9,1582,126.2,5,660000,0,1,0,0,1,0,0,0,1
7,28000,16.1,1197,85,5,435000,1,0,0,0,0,0,1,0,1
8,55000,21.9,1396,88.76,5,385000,1,0,0,0,1,0,0,0,1
2,14000,22,1582,126.2,5,1250000,1,0,0,0,1,0,0,1,0
12,98780,18.9,998,67.1,5,155000,1,0,0,0,0,0,1,0,1
6,58000,25.2,1248,74,5,415000,1,0,0,0,1,0,0,0,1
10,30000,20.92,998,67.1,5,251000,0,1,0,0,0,0,1,0,1
7,32111,19.81,1086,68.05,5,310000,0,0,1,0,0,0,1,0,1
6,35000,19.44,1198,67,7,350000,0,1,0,0,0,0,1,0,1
3,10000,20.62,1198,67,7,480000,0,1,0,0,0,0,1,0,1
4,25000,28.4,1248,74.02,5,850000,0,1,0,0,1,0,0,1,0
4,102000,17.01,1582,126.2,5,1100000,1,0,0,0,1,0,0,1,0
3,35000,22,1197,81.8,5,575000,1,0,0,0,0,0,1,0,1
9,49948,17.5,1298,85.8,5,340000,1,0,0,0,0,0,1,0,1
3,55000,23,1498,98.96,5,925000,0,1,0,0,1,0,0,0,1
6,36000,18.9,1197,82,5,400000,1,0,0,0,0,0,1,0,1
5,49625,17.8,1497,117.3,5,725000,1,0,0,0,0,0,1,0,1
7,35000,23.4,1248,74,5,600000,0,1,0,0,1,0,0,0,1
4,36000,25.83,1498,99,5,585000,1,0,0,0,1,0,0,0,1
2,50000,21.79,998,67.05,5,411000,0,1,0,0,0,0,1,0,1
6,26500,20.85,1197,83.14,5,450000,0,1,0,0,0,0,1,0,1
6,46000,16.47,1198,74,5,455000,1,0,0,0,0,0,1,0,1
2,9000,20.7,1197,81.86,5,710000,0,1,0,0,0,0,1,0,1
5,53000,16.8,1497,116.3,5,770000,1,0,0,0,0,0,1,0,1
3,50000,25.8,1498,98.6,5,720000,0,1,0,0,1,0,0,0,1
5,52000,25.32,1198,77,5,375000,1,0,0,0,1,0,0,0,1
6,35000,19.44,1198,67,7,400000,0,1,0,0,0,0,1,0,1
6,48000,19.87,1461,83.8,5,600000,0,1,0,0,1,0,0,0,1
3,18000,18.7,1199,88.7,5,600000,0,1,0,0,0,0,1,0,1
9,57413,14.4,998,61.7,5,270000,0,1,0,0,0,1,0,0,1
6,30000,18.6,1197,81.83,5,500000,0,1,0,0,0,0,1,0,1
6,55000,23.9,1582,126.2,5,650000,1,0,0,0,1,0,0,0,1
3,10000,21.21,1197,81.8,5,660000,0,1,0,0,0,0,1,1,0
1,8000,16.8,1497,113.4,5,1275000,1,0,0,0,0,0,1,0,1
6,65000,28.4,1248,74,5,495000,1,0,0,0,1,0,0,0,1
5,25000,18.9,1197,82,5,475000,0,1,0,0,0,0,1,0,1
6,70000,20.73,1373,91.1,5,530000,0,1,0,0,0,0,1,0,1
5,9500,23.84,1199,84,5,530000,0,1,0,0,0,0,1,0,1
6,9100,17.01,1591,121.3,5,650000,0,1,0,0,0,0,1,0,1
11,86000,17,1497,118,5,335000,1,0,0,0,0,0,1,0,1
10,60000,20,1399,68,5,300000,0,1,0,0,1,0,0,0,1
2,7883,21.5,1197,81.8,5,550000,0,0,1,0,0,0,1,1,0
8,50205,23.4,1248,74,5,390000,0,0,1,0,1,0,0,0,1
4,58000,24.7,1047,69,5,395000,1,0,0,0,1,0,0,0,1
3,15000,22,1197,81.8,5,650000,0,1,0,0,0,0,1,0,1
5,71245,28.4,1248,74,5,375000,1,0,0,0,1,0,0,0,1
3,20000,23.95,998,67.05,5,360000,0,1,0,0,0,0,1,0,1
1,8700,21.63,998,67.04,5,505000,0,1,0,0,0,0,1,0,1
2,25000,24.7,796,47.3,5,310000,0,1,0,0,0,0,1,0,1
6,42000,18.6,1197,81.86,5,545000,1,0,0,0,0,0,1,0,1
3,50000,21.4,1197,83.1,5,580000,0,1,0,0,0,0,1,0,1
10,58000,18.9,998,67.1,5,250000,0,1,0,0,0,0,1,0,1
4,36000,17.43,1396,105.5,5,650000,0,1,0,0,0,0,1,0,1
3,30000,25.47,1248,88.5,7,410000,0,1,0,0,1,0,0,0,1
3,7500,23,1498,98.96,5,890000,0,1,0,0,1,0,0,0,1
3,52000,33.54,998,67.04,5,435000,1,0,0,1,0,0,0,0,1
9,74000,20,1399,68.05,5,185000,1,0,0,0,1,0,0,0,1
6,50000,18.6,1197,81.83,5,450000,0,1,0,0,0,0,1,0,1
4,100000,21.4,1197,83.1,5,600000,0,1,0,0,0,0,1,0,1
7,35000,23.1,998,67.04,5,320000,0,1,0,0,0,0,1,0,1
5,50000,21.19,1396,88.73,5,700000,0,1,0,0,1,0,0,0,1
3,10000,18.16,1196,86.8,5,630000,0,1,0,0,0,0,1,0,1
5,10370,22.74,796,47.3,5,320000,0,1,0,0,0,0,1,0,1
8,62000,16.8,1497,116.3,5,465000,1,0,0,0,0,0,1,0,1
5,40000,18.6,1197,81.83,5,550000,0,1,0,0,0,0,1,0,1
4,60000,22,1197,81.8,5,445000,0,1,0,0,0,0,1,0,1
8,64000,33.54,998,67.04,5,270000,1,0,0,1,0,0,0,0,1
7,63000,26,1498,98.6,5,475000,1,0,0,0,1,0,0,0,1
10,55000,16.9,1497,100,5,350000,1,0,0,0,0,0,1,0,1
5,11000,18.6,1197,81.83,5,575000,1,0,0,0,0,0,1,0,1
4,17000,23.01,999,67,5,360000,0,1,0,0,0,0,1,0,1
4,25000,24.7,796,47.3,5,275000,0,1,0,0,0,0,1,0,1
5,33350,19.44,1198,67,7,320000,0,1,0,0,0,0,1,0,1
6,62000,18.9,1197,82,5,370000,1,0,0,0,0,0,1,0,1
12,59000,17.5,1298,85.8,5,275000,0,1,0,0,0,0,1,0,1
7,86113,17.4,1497,117.3,5,550000,1,0,0,0,0,0,1,0,1
3,10000,28.4,1248,74.02,5,750000,0,1,0,0,1,0,0,0,1
6,92537,20.51,998,67.04,5,272000,0,1,0,0,0,0,1,0,1
2,27645,28.09,1248,88.5,5,951000,1,0,0,0,1,0,0,0,1
8,46242,20.92,998,67.1,5,280000,0,1,0,0,0,0,1,0,1
1,6000,22.3,799,53.26,5,450000,0,1,0,0,0,0,1,0,1
4,64000,18.6,1197,81.83,5,480000,1,0,0,0,0,0,1,0,1
8,26200,22.74,796,47.3,5,235000,1,0,0,0,0,0,1,0,1
4,25000,21.4,1197,83.1,5,590000,0,1,0,0,0,0,1,0,1
13,80000,17.92,1086,62.1,5,110000,0,1,0,0,0,0,1,0,1
3,25000,17.4,1497,117.3,5,750000,0,1,0,0,0,0,1,0,1
6,36000,18.9,1197,81.86,5,400000,1,0,0,0,0,0,1,0,1
6,40000,26.59,1248,74,5,530000,0,1,0,0,1,0,0,0,1
3,30038,25.17,799,53.3,5,295000,1,0,0,0,0,0,1,0,1
4,53000,27.28,1047,69,5,370000,0,1,0,0,1,0,0,0,1
3,5000,21.21,1197,81.8,5,530000,0,1,0,0,0,0,1,0,1
4,35000,24.04,999,67,5,350000,0,1,0,0,0,0,1,1,0
8,62000,22.7,1498,89.84,5,470000,1,0,0,0,1,0,0,0,1
6,42000,25.83,1498,99,5,390000,0,1,0,0,1,0,0,0,1
7,45000,22.32,1582,126.32,5,635000,0,1,0,0,1,0,0,0,1
3,12000,24.7,796,47.3,5,300000,0,1,0,0,0,0,1,0,1
3,12000,18,1497,117.6,5,960000,0,1,0,0,0,0,1,1,0
3,15000,24.3,1248,88.5,5,750000,0,1,0,0,1,0,0,0,1
10,63000,16.47,1198,73.9,5,249000,1,0,0,0,0,0,1,0,1
7,120000,22.32,1582,126.32,5,610000,0,1,0,0,1,0,0,0,1
5,78247,21.7,1498,98.96,5,545000,1,0,0,0,1,0,0,0,1
8,113000,22.32,1582,126.3,5,480000,0,1,0,0,1,0,0,0,1
7,52000,18.6,1197,81.83,5,395000,1,0,0,0,0,0,1,0,1
4,90000,18.9,1197,82,5,470000,0,1,0,0,0,0,1,0,1
10,98000,22.07,1199,73.9,5,200000,1,0,0,0,1,0,0,0,1
5,20000,21.19,1396,88.73,5,699000,0,1,0,0,1,0,0,0,1
7,21717,20.51,998,67.04,5,340000,0,1,0,0,0,0,1,0,1
7,40000,20.45,1461,83.8,5,500000,0,1,0,0,1,0,0,0,1
4,50000,17.14,1497,117.6,5,1050000,0,1,0,0,0,0,1,0,1
5,90000,19.6,1461,108.45,5,600000,0,1,0,0,1,0,0,0,1
4,27876,20.4,1197,81.8,5,491000,1,0,0,0,0,0,1,0,1
13,57215,20.36,1197,78.9,5,160000,0,1,0,0,0,0,1,0,1
2,5400,18.27,998,118.35,5,985000,1,0,0,0,0,0,1,0,1
7,60000,23.4,1248,74,5,500000,0,1,0,0,1,0,0,0,1
4,24800,23.84,1199,84,5,335000,0,1,0,0,0,0,1,0,1
16,70000,19.7,796,46.3,5,85000,0,1,0,0,0,0,1,0,1
3,20000,17.1,1199,88.51,5,740000,1,0,0,0,0,0,1,1,0
8,34553,22,1197,81.8,5,375000,1,0,0,0,0,0,1,0,1
3,40000,24.3,1248,88.5,5,810000,0,1,0,0,1,0,0,0,1
4,50000,24.3,1248,88.5,5,700000,0,1,0,0,1,0,0,0,1
5,70000,25.32,1198,77,6,310000,0,1,0,0,1,0,0,0,1
8,90000,22.54,1396,88.76,5,285000,0,1,0,0,1,0,0,0,1
7,120000,23.4,1248,74,5,450000,0,1,0,0,1,0,0,0,1
4,80000,19.67,1582,126.2,5,1100000,0,1,0,0,1,0,0,0,1
7,66100,26,1498,98.6,5,530000,1,0,0,0,1,0,0,0,1
4,50000,28.4,1248,74.02,5,680000,0,1,0,0,1,0,0,0,1
4,55000,18.6,1197,81.83,5,650000,0,1,0,0,0,0,1,0,1
9,110699,20.36,1197,78.9,5,194000,1,0,0,0,0,0,1,0,1
2,5000,21.4,1197,83.1,5,686000,0,1,0,0,0,0,1,1,0
5,50000,22.74,796,47.3,5,200000,0,1,0,0,0,0,1,0,1
11,44000,19.1,1197,85.8,5,250000,1,0,0,0,0,0,1,0,1
3,90000,24.3,1248,88.5,5,730000,0,1,0,0,1,0,0,0,1
5,55000,17.01,1591,121.3,5,650000,1,0,0,0,0,0,1,0,1
4,45000,24.3,1248,88.5,5,790000,1,0,0,0,1,0,0,0,1
4,30000,21.4,1197,83.1,5,620000,0,1,0,0,0,0,1,0,1
8,50000,17.01,1591,121.3,5,510000,0,1,0,0,0,0,1,0,1
8,20000,15.37,1196,73,5,375000,0,1,0,0,0,0,1,0,1
4,19843,21.21,1197,81.8,5,620000,0,0,1,0,0,0,1,1,0
5,40000,18,1497,117.3,5,845000,0,1,0,0,0,0,1,1,0
7,61500,23.4,1248,74,5,390000,1,0,0,0,1,0,0,0,1
6,59000,18,1198,86.7,5,395000,1,0,0,0,0,0,1,0,1
3,40000,18.9,1197,81.86,5,450000,0,1,0,0,0,0,1,0,1
8,61000,18.9,1197,82,5,325000,1,0,0,0,0,0,1,0,1
5,70000,25.32,1198,77,6,350000,0,1,0,0,1,0,0,0,1
4,22000,28.4,1248,74.02,5,750000,0,1,0,0,1,0,0,0,1
11,57977,17,1497,118,5,299000,1,0,0,0,0,0,1,0,1
7,48242,20.77,1248,88.76,7,524000,1,0,0,0,1,0,0,0,1
9,68000,20,1399,68.05,5,169000,1,0,0,0,1,0,0,0,1
7,40000,20.77,1248,88.8,7,500000,0,1,0,0,1,0,0,0,1
8,113450,23.4,1248,74,5,380000,0,1,0,0,1,0,0,0,1
3,80000,20.51,998,67,5,400000,0,1,0,0,0,0,1,1,0
1,1000,20.3,1086,68,5,565000,1,0,0,0,0,0,1,1,0
6,20292,20.51,998,67.04,5,335000,1,0,0,0,0,0,1,0,1
4,60000,24,1186,73.97,5,510000,0,1,0,0,1,0,0,0,1
3,25000,24.04,999,67,5,370000,0,1,0,0,0,0,1,1,0
15,70000,18.9,998,67.1,5,200000,0,1,0,0,0,0,1,0,1
3,21000,27.39,1248,74,5,625000,0,1,0,0,1,0,0,0,1
4,30000,15.8,1591,121.3,5,890000,1,0,0,0,0,0,1,0,1
9,61000,22.32,1582,126.3,5,420000,1,0,0,0,1,0,0,0,1
4,5743,20.4,1197,83.11,5,500000,0,0,1,0,0,0,1,0,1
3,24200,18.9,1197,81.86,5,600000,0,1,0,0,0,0,1,0,1
4,57000,27.39,1248,74,5,590000,0,1,0,0,1,0,0,0,1
10,58000,20.36,1197,78.9,5,190000,1,0,0,0,0,0,1,0,1
4,15000,19.44,1198,67,7,500000,0,1,0,0,0,0,1,0,1
4,10000,23.1,998,67.04,5,450000,0,1,0,0,0,0,1,0,1
1,10000,20.52,1197,81.8,5,500000,0,1,0,0,0,0,1,0,1
12,43000,19.7,796,46.3,5,140000,0,1,0,0,0,0,1,0,1
8,64000,18,1198,86.7,5,349000,1,0,0,1,0,0,0,0,1
7,30000,20.51,998,67.06,5,325000,0,1,0,0,0,0,1,0,1
7,63000,17.8,1497,117.3,5,435000,1,0,0,0,0,0,1,0,1
3,28000,31.79,998,58.33,5,455000,1,0,0,1,0,0,0,0,1
4,32226,17.8,1497,117.3,5,755000,1,0,0,0,0,0,1,0,1
7,65000,23.95,998,67.05,5,245000,0,1,0,0,0,0,1,0,1
2,14000,20.8,1493,113.4,5,1350000,1,0,0,0,1,0,0,0,1
3,15000,24.04,999,67,5,310000,0,1,0,0,0,0,1,1,0
3,32000,19.3,1248,73.9,5,675000,1,0,0,0,1,0,0,0,1
2,30000,20.52,1197,81.8,5,500000,0,1,0,0,0,0,1,0,1
11,25000,20.36,1197,78.9,5,300000,0,1,0,0,0,0,1,0,1
7,65597,22.7,1498,89.84,5,575000,0,0,1,0,1,0,0,0,1
4,35000,18.6,1197,81.83,5,550000,0,1,0,0,0,0,1,0,1
1,7124,21.01,1197,81.8,5,643000,0,1,0,0,0,0,1,0,1
2,15000,18.1,999,123.24,5,1000000,0,1,0,0,0,0,1,0,1
5,34000,18.9,1197,82,5,550000,0,1,0,0,0,0,1,0,1
3,40000,20.3,1199,84,5,470000,0,1,0,0,0,0,1,0,1
7,77000,26,1498,98.6,5,525000,1,0,0,0,1,0,0,0,1
4,15000,19.44,1198,67,7,469000,0,1,0,0,0,0,1,0,1
9,60000,20.92,998,67.1,5,210000,0,1,0,0,0,0,1,0,1
8,120000,22.74,796,47.3,5,200000,0,1,0,0,0,0,1,0,1
2,2500,23.01,999,67,5,400000,0,1,0,0,0,0,1,0,1
5,46500,23.1,998,67.04,5,340000,0,1,0,0,0,0,1,0,1
16,5000,19.7,796,46.3,5,95000,0,1,0,0,0,0,1,0,1
9,68000,22.9,1248,74,5,381000,0,1,0,0,1,0,0,0,1
4,20000,28.4,1248,74.02,5,700000,0,1,0,0,1,0,0,0,1
4,106000,28.09,1248,88.5,5,675000,1,0,0,0,1,0,0,0,1
6,28000,18,1497,117.3,5,670000,1,0,0,0,0,0,1,1,0
10,55000,17,1497,118,5,360000,1,0,0,0,0,0,1,0,1
4,53000,25.83,1498,99,5,400000,0,1,0,0,1,0,0,0,1
7,89000,22.32,1582,126.32,5,470000,1,0,0,0,1,0,0,0,1
3,22000,24.7,796,47.3,5,304000,0,1,0,0,0,0,1,0,1
7,69000,26,1498,98.6,5,490000,1,0,0,0,1,0,0,0,1
2,3600,20.52,1197,81.8,5,575000,1,0,0,0,0,0,1,1,0
2,44000,28.4,1248,74,5,800000,0,1,0,0,1,0,0,0,1
3,10000,21.4,1197,83.1,5,680000,0,1,0,0,0,0,1,1,0
2,22346,17,1497,121.36,5,955000,1,0,0,0,0,0,1,0,1
9,120000,21.9,1396,90,5,350000,0,1,0,0,1,0,0,0,1
1,1000,17.03,1462,103.26,5,800000,1,0,0,0,0,0,1,0,1
16,56700,19.7,796,46.3,5,75000,0,1,0,0,0,0,1,0,1
3,40000,18.2,1199,88.7,5,670000,1,0,0,0,0,0,1,1,0
9,28000,19.7,796,46.3,5,180000,1,0,0,0,0,0,1,0,1
4,35000,18.9,1197,81.86,5,490000,0,1,0,0,0,0,1,0,1
4,20000,21.4,1197,83.1,5,550000,0,1,0,0,0,0,1,0,1
7,40000,20.36,1197,78.9,5,350000,0,1,0,0,0,0,1,0,1
9,74000,20,1399,68.05,5,190000,1,0,0,0,1,0,0,0,1
7,46500,20.45,1461,83.8,5,460000,0,1,0,0,1,0,0,0,1
2,8000,21.21,1197,81.8,5,650000,1,0,0,0,0,0,1,1,0
5,120000,28.09,1248,88.5,5,700000,0,1,0,0,1,0,0,0,1
4,34000,20.4,1197,81.8,5,455000,0,1,0,0,0,0,1,0,1
7,54000,22,1197,81.8,5,365000,1,0,0,0,0,0,1,0,1
7,11275,19.1,1197,85.8,5,470000,1,0,0,0,0,0,1,0,1
9,48000,22.9,1248,74,5,400000,0,1,0,0,1,0,0,0,1
6,68000,19.87,1461,83.8,5,550000,1,0,0,0,1,0,0,0,1
3,31500,28.4,1248,74.02,5,740000,0,1,0,0,1,0,0,1,0
8,73000,25.8,1498,98.6,5,325000,1,0,0,0,1,0,0,0,1
1,10000,20.7,1197,81.86,5,600000,0,1,0,0,0,0,1,1,0
11,30000,20.36,1197,78.9,5,300000,0,1,0,0,0,0,1,0,1
5,83000,26.6,998,58.16,5,345000,1,0,0,1,0,0,0,0,1
6,34000,20.4,1197,81.8,5,400000,0,1,0,0,0,0,1,0,1
7,45120,25.8,1498,98.6,5,367000,1,0,0,0,1,0,0,0,1
2,15000,18.9,1197,81.86,5,535000,0,1,0,0,0,0,1,1,0
2,15000,19.34,1462,103,7,805000,0,1,0,0,0,0,1,0,1
9,64000,20.36,1197,78.9,5,250000,0,1,0,0,0,0,1,0,1
5,65000,24.3,1248,88.5,5,675000,1,0,0,0,1,0,0,0,1
6,84000,28.4,1248,74,5,425000,1,0,0,0,1,0,0,0,1
6,33000,22.74,796,47.3,5,260000,0,1,0,0,0,0,1,0,1
5,55670,17.8,1497,117.3,5,700000,1,0,0,0,0,0,1,0,1
4,50000,27.39,1248,74,5,560000,0,1,0,0,1,0,0,0,1
2,18000,19.01,1462,103.26,7,800000,1,0,0,0,0,0,1,0,1
6,10000,18.9,1197,82,5,350000,0,1,0,0,0,0,1,0,1
3,50000,17.5,1373,91.1,7,700000,0,1,0,0,0,0,1,0,1
12,76963,17.5,1298,85.8,5,230000,0,1,0,0,0,0,1,0,1
5,45000,30.46,796,47.3,5,350000,1,0,0,1,0,0,0,0,1
3,25000,27.39,1248,74,5,825000,0,1,0,0,1,0,0,0,1
3,10103,25.17,799,53.3,5,325000,1,0,0,0,0,0,1,0,1
2,30000,23.1,998,67.04,5,400000,0,1,0,0,0,0,1,0,1
6,35213,22.54,1396,88.73,5,535000,1,0,0,0,1,0,0,0,1
6,35000,18.9,1197,82,5,356000,0,1,0,0,0,0,1,0,1
3,34500,21.94,1196,61.7,5,360000,1,0,0,1,0,0,0,0,1
4,50000,24.52,1248,88.5,7,700000,0,1,0,0,1,0,0,0,1
5,30000,18.9,1197,82,5,390000,0,1,0,0,0,0,1,0,1
10,83000,18.9,998,67.1,5,180000,1,0,0,0,0,0,1,0,1
7,70000,15,1598,103.52,5,425000,1,0,0,0,0,0,1,0,1
2,50000,19,1194,94.68,5,650000,0,1,0,0,0,0,1,0,1
9,60000,22.9,1248,74,5,400000,0,1,0,0,1,0,0,0,1
12,51000,17,1497,118,5,275000,1,0,0,0,0,0,1,0,1
10,40000,19.7,796,46.3,5,170000,0,1,0,0,0,0,1,0,1
7,70000,23.95,998,67.05,5,250000,0,1,0,0,0,0,1,0,1
8,70000,18.6,1197,85.8,5,350000,0,1,0,0,0,0,1,0,1
5,50000,18.6,1197,81.83,5,480000,0,1,0,0,0,0,1,0,1
4,30000,21.21,1197,81.8,5,690000,1,0,0,0,0,0,1,1,0
6,60000,26.21,1248,88.5,5,670000,0,1,0,0,1,0,0,0,1
10,50000,20.92,998,67.1,5,250000,0,1,0,0,0,0,1,0,1
2,15000,17,1591,121.3,5,1030000,0,1,0,0,0,0,1,0,1
16,33650,18.9,998,67.1,5,110000,0,1,0,0,0,0,1,0,1
6,35000,18.6,1197,81.83,5,470000,0,1,0,0,0,0,1,0,1
6,30000,20.4,1197,81.8,5,370000,0,1,0,0,0,0,1,0,1
3,100000,23.1,998,67.04,5,450000,0,1,0,0,0,0,1,1,0
5,58000,26.2,998,58.2,5,275000,1,0,0,1,0,0,0,0,1
2,4000,21.21,1197,81.8,5,731000,0,1,0,0,0,0,1,1,0
5,60000,20.51,998,67.04,5,380000,0,1,0,0,0,0,1,0,1
3,60000,21.5,1497,108.5,5,900000,0,1,0,0,1,0,0,0,1
5,34000,18,1198,86.7,5,500000,1,0,0,0,0,0,1,0,1
4,42000,20.63,1198,67.06,5,330000,0,1,0,0,0,0,1,0,1
8,80000,22.32,1582,126.3,5,540000,0,1,0,0,1,0,0,0,1
